subject,body,label
Unauthorized Transaction Alert,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Earn $5000 working from home,You have won a free iPhone! Claim your prize before it expires.,spam
Earn $5000 working from home,Work from home and earn thousands. Sign up today!,spam
Suspicious Activity on Your Account,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Monthly Report Submission,Please find the attached report for your review.,legit
Lowest Price Ever! Shop Now,Act now to secure your limited-time offer.,spam
Your Account Has Been Suspended,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Unauthorized Transaction Alert,Your payment could not be processed. Update your billing information now.,phishing
Your Order Has Shipped,Your subscription has been renewed successfully.,legit
Winner Announcement Inside,Earn $1000 per day online with this simple trick.,spam
Payment Failed – Verify Now,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Project Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Get Rich Quick!,Act now to secure your limited-time offer.,spam
HR Policy Update,Your order has been shipped and will arrive within 3-5 business days.,legit
Limited Time Offer! Buy Now,Earn $1000 per day online with this simple trick.,spam
Earn $5000 working from home,Earn $1000 per day online with this simple trick.,spam
Team Outing Schedule,Reminder: Submit your project update by Friday.,legit
Urgent: Verify Your Account,Congratulations! Your lottery ticket has won. Redeem now.,spam
Suspicious Activity on Your Account,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Appointment Confirmation,Welcome to our newsletter! We will keep you updated weekly.,legit
Appointment Confirmation,Welcome to our newsletter! We will keep you updated weekly.,legit
Earn $5000 working from home,Earn $1000 per day online with this simple trick.,spam
Your Order Has Shipped,Thank you for attending the meeting. Notes are attached.,legit
Reset Your Password Now,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Appointment Confirmation,Kindly find the invoice for your recent purchase.,legit
Free iPhone Giveaway,Free gift card available for a limited time.,spam
Meeting Reminder,Reminder: Submit your project update by Friday.,legit
Limited Time Offer! Buy Now,You have won a free iPhone! Claim your prize before it expires.,spam
Lowest Price Ever! Shop Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Get Rich Quick!,Exclusive investment opportunity. Don't miss out!,spam
Team Outing Schedule,Kindly find the invoice for your recent purchase.,legit
Your Account is Locked,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Meeting Reminder,Please find the attached report for your review.,legit
Earn $5000 working from home,Exclusive investment opportunity. Don't miss out!,spam
Monthly Report Submission,Your order has been shipped and will arrive within 3-5 business days.,legit
Action Required: Account Verification,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Unauthorized Transaction Alert,You have been selected for account verification. Click the link to proceed.,phishing
HR Policy Update,Agenda for the upcoming team outing is attached.,legit
Congratulations! You've won a prize,Exclusive investment opportunity. Don't miss out!,spam
Appointment Confirmation,Agenda for the upcoming team outing is attached.,legit
Your Order Has Shipped,Your subscription has been renewed successfully.,legit
Your Order Has Shipped,Agenda for the upcoming team outing is attached.,legit
Lowest Price Ever! Shop Now,Free gift card available for a limited time.,spam
Team Outing Schedule,Agenda for the upcoming team outing is attached.,legit
Your Account is Locked,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Earn $5000 working from home,Earn $1000 per day online with this simple trick.,spam
HR Policy Update,Kindly find the invoice for your recent purchase.,legit
Project Update,Agenda for the upcoming team outing is attached.,legit
Appointment Confirmation,Agenda for the upcoming team outing is attached.,legit
Unauthorized Transaction Alert,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Welcome to Our Newsletter,Agenda for the upcoming team outing is attached.,legit
Limited Time Offer! Buy Now,Exclusive investment opportunity. Don't miss out!,spam
Team Outing Schedule,Welcome to our newsletter! We will keep you updated weekly.,legit
Lowest Price Ever! Shop Now,Click here to claim your reward instantly.,spam
Welcome to Our Newsletter,Thank you for attending the meeting. Notes are attached.,legit
Payment Failed – Verify Now,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Team Outing Schedule,Your order has been shipped and will arrive within 3-5 business days.,legit
HR Policy Update,Kindly find the invoice for your recent purchase.,legit
Free iPhone Giveaway,Earn $1000 per day online with this simple trick.,spam
Winner Announcement Inside,Congratulations! Your lottery ticket has won. Redeem now.,spam
Limited Time Offer! Buy Now,Exclusive investment opportunity. Don't miss out!,spam
Lowest Price Ever! Shop Now,Limited time offer! Buy now and save 50% on your order.,spam
Payment Failed – Verify Now,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Claim Your Gift Card,Click here to claim your reward instantly.,spam
Project Update,Your order has been shipped and will arrive within 3-5 business days.,legit
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Congratulations! You've won a prize,Limited time offer! Buy now and save 50% on your order.,spam
Unusual Login Attempt Detected,"To continue using your account, please confirm your email address.",phishing
Lowest Price Ever! Shop Now,Free gift card available for a limited time.,spam
Monthly Report Submission,Reminder: Submit your project update by Friday.,legit
Winner Announcement Inside,Exclusive investment opportunity. Don't miss out!,spam
Confirm Your Identity,Your payment could not be processed. Update your billing information now.,phishing
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Free iPhone Giveaway,Act now to secure your limited-time offer.,spam
Your Account is Locked,You have been selected for account verification. Click the link to proceed.,phishing
Winner Announcement Inside,Free gift card available for a limited time.,spam
Invoice Attached,Your subscription has been renewed successfully.,legit
Limited Time Offer! Buy Now,Work from home and earn thousands. Sign up today!,spam
Verify Your Bank Account Immediately,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Team Outing Schedule,Kindly find the invoice for your recent purchase.,legit
Get Rich Quick!,Exclusive investment opportunity. Don't miss out!,spam
Team Outing Schedule,Agenda for the upcoming team outing is attached.,legit
Reset Your Password Now,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Team Outing Schedule,Please find the attached report for your review.,legit
Unusual Login Attempt Detected,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Congratulations! You've won a prize,Act now to secure your limited-time offer.,spam
HR Policy Update,Kindly find the invoice for your recent purchase.,legit
Claim Your Gift Card,Congratulations! Your lottery ticket has won. Redeem now.,spam
Congratulations! You've won a prize,Click here to claim your reward instantly.,spam
Limited Time Offer! Buy Now,Free gift card available for a limited time.,spam
Your Account Has Been Suspended,"To continue using your account, please confirm your email address.",phishing
Welcome to Our Newsletter,Please review the updated HR policy attached in this email.,legit
Get Rich Quick!,You have won a free iPhone! Claim your prize before it expires.,spam
Meeting Reminder,Agenda for the upcoming team outing is attached.,legit
Congratulations! You've won a prize,Act now to secure your limited-time offer.,spam
Limited Time Offer! Buy Now,Act now to secure your limited-time offer.,spam
Welcome to Our Newsletter,Kindly find the invoice for your recent purchase.,legit
Get Rich Quick!,Click here to claim your reward instantly.,spam
Limited Time Offer! Buy Now,Act now to secure your limited-time offer.,spam
Your Account Has Been Suspended,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Free iPhone Giveaway,Limited time offer! Buy now and save 50% on your order.,spam
Team Outing Schedule,Agenda for the upcoming team outing is attached.,legit
Winner Announcement Inside,Limited time offer! Buy now and save 50% on your order.,spam
Unusual Login Attempt Detected,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Welcome to Our Newsletter,Your order has been shipped and will arrive within 3-5 business days.,legit
Lowest Price Ever! Shop Now,Act now to secure your limited-time offer.,spam
Your Order Has Shipped,Please find the attached report for your review.,legit
Action Required: Account Verification,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Urgent: Verify Your Account,Limited time offer! Buy now and save 50% on your order.,spam
Verify Your Bank Account Immediately,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Reset Your Password Now,Your payment could not be processed. Update your billing information now.,phishing
Congratulations! You've won a prize,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Confirm Your Identity,"To continue using your account, please confirm your email address.",phishing
Your Account is Locked,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Unauthorized Transaction Alert,Immediate action required: Your account has been flagged for suspicious activity.,phishing
HR Policy Update,Thank you for attending the meeting. Notes are attached.,legit
Get Rich Quick!,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Welcome to Our Newsletter,Thank you for attending the meeting. Notes are attached.,legit
Urgent: Verify Your Account,Limited time offer! Buy now and save 50% on your order.,spam
Lowest Price Ever! Shop Now,Limited time offer! Buy now and save 50% on your order.,spam
Invoice Attached,Thank you for attending the meeting. Notes are attached.,legit
Your Account Has Been Suspended,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Invoice Attached,Looking forward to our meeting tomorrow at 10 AM.,legit
Lowest Price Ever! Shop Now,Work from home and earn thousands. Sign up today!,spam
Claim Your Gift Card,Exclusive investment opportunity. Don't miss out!,spam
Earn $5000 working from home,Work from home and earn thousands. Sign up today!,spam
Team Outing Schedule,Looking forward to our meeting tomorrow at 10 AM.,legit
Meeting Reminder,Your order has been shipped and will arrive within 3-5 business days.,legit
Your Order Has Shipped,Kindly find the invoice for your recent purchase.,legit
Unusual Login Attempt Detected,Your payment could not be processed. Update your billing information now.,phishing
Lowest Price Ever! Shop Now,You have won a free iPhone! Claim your prize before it expires.,spam
Appointment Confirmation,Please review the updated HR policy attached in this email.,legit
Limited Time Offer! Buy Now,Click here to claim your reward instantly.,spam
Lowest Price Ever! Shop Now,Congratulations! Your lottery ticket has won. Redeem now.,spam
Payment Failed – Verify Now,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Action Required: Account Verification,"To continue using your account, please confirm your email address.",phishing
Your Account Has Been Suspended,"To continue using your account, please confirm your email address.",phishing
Free iPhone Giveaway,Click here to claim your reward instantly.,spam
Unusual Login Attempt Detected,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Suspicious Activity on Your Account,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Double Your Income in 7 Days,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Weekly Digest,Kindly find the invoice for your recent purchase.,legit
Suspicious Activity on Your Account,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Welcome to Our Newsletter,Kindly find the invoice for your recent purchase.,legit
Invoice Attached,Reminder: Submit your project update by Friday.,legit
Unusual Login Attempt Detected,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Your Order Has Shipped,Reminder: Submit your project update by Friday.,legit
Monthly Report Submission,Your order has been shipped and will arrive within 3-5 business days.,legit
Reset Your Password Now,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Your Order Has Shipped,Agenda for the upcoming team outing is attached.,legit
Your Order Has Shipped,Agenda for the upcoming team outing is attached.,legit
Invoice Attached,Please review the updated HR policy attached in this email.,legit
Unusual Login Attempt Detected,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Action Required: Account Verification,"To continue using your account, please confirm your email address.",phishing
Weekly Digest,Looking forward to our meeting tomorrow at 10 AM.,legit
Lowest Price Ever! Shop Now,Work from home and earn thousands. Sign up today!,spam
Claim Your Gift Card,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Confirm Your Identity,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Meeting Reminder,Kindly find the invoice for your recent purchase.,legit
Invoice Attached,Your subscription has been renewed successfully.,legit
Get Rich Quick!,Exclusive investment opportunity. Don't miss out!,spam
Limited Time Offer! Buy Now,Exclusive investment opportunity. Don't miss out!,spam
Limited Time Offer! Buy Now,Earn $1000 per day online with this simple trick.,spam
Welcome to Our Newsletter,Thank you for attending the meeting. Notes are attached.,legit
Double Your Income in 7 Days,Free gift card available for a limited time.,spam
Verify Your Bank Account Immediately,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Payment Failed – Verify Now,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Verify Your Bank Account Immediately,Your payment could not be processed. Update your billing information now.,phishing
Limited Time Offer! Buy Now,Click here to claim your reward instantly.,spam
Payment Failed – Verify Now,"To continue using your account, please confirm your email address.",phishing
Lowest Price Ever! Shop Now,Free gift card available for a limited time.,spam
Urgent: Verify Your Account,Click here to claim your reward instantly.,spam
Monthly Report Submission,Welcome to our newsletter! We will keep you updated weekly.,legit
Limited Time Offer! Buy Now,You have won a free iPhone! Claim your prize before it expires.,spam
Welcome to Our Newsletter,Thank you for attending the meeting. Notes are attached.,legit
Your Account is Locked,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Earn $5000 working from home,Earn $1000 per day online with this simple trick.,spam
Free iPhone Giveaway,Free gift card available for a limited time.,spam
Team Outing Schedule,Thank you for attending the meeting. Notes are attached.,legit
Suspicious Activity on Your Account,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Congratulations! You've won a prize,Act now to secure your limited-time offer.,spam
Your Order Has Shipped,Looking forward to our meeting tomorrow at 10 AM.,legit
Lowest Price Ever! Shop Now,Exclusive investment opportunity. Don't miss out!,spam
Your Account Has Been Suspended,"To continue using your account, please confirm your email address.",phishing
Action Required: Account Verification,You have been selected for account verification. Click the link to proceed.,phishing
Double Your Income in 7 Days,Work from home and earn thousands. Sign up today!,spam
Action Required: Account Verification,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Project Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Reset Your Password Now,"To continue using your account, please confirm your email address.",phishing
Confirm Your Identity,"To continue using your account, please confirm your email address.",phishing
Monthly Report Submission,Kindly find the invoice for your recent purchase.,legit
Action Required: Account Verification,"To continue using your account, please confirm your email address.",phishing
Earn $5000 working from home,Free gift card available for a limited time.,spam
Double Your Income in 7 Days,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Appointment Confirmation,Looking forward to our meeting tomorrow at 10 AM.,legit
Verify Your Bank Account Immediately,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Verify Your Bank Account Immediately,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Welcome to Our Newsletter,Kindly find the invoice for your recent purchase.,legit
Confirm Your Identity,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Meeting Reminder,Reminder: Submit your project update by Friday.,legit
Urgent: Verify Your Account,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Invoice Attached,Thank you for attending the meeting. Notes are attached.,legit
Team Outing Schedule,Agenda for the upcoming team outing is attached.,legit
Congratulations! You've won a prize,Act now to secure your limited-time offer.,spam
Verify Your Bank Account Immediately,"To continue using your account, please confirm your email address.",phishing
Lowest Price Ever! Shop Now,Congratulations! Your lottery ticket has won. Redeem now.,spam
Urgent: Verify Your Account,Limited time offer! Buy now and save 50% on your order.,spam
Suspicious Activity on Your Account,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Suspicious Activity on Your Account,You have been selected for account verification. Click the link to proceed.,phishing
Welcome to Our Newsletter,Your order has been shipped and will arrive within 3-5 business days.,legit
Welcome to Our Newsletter,Please review the updated HR policy attached in this email.,legit
Suspicious Activity on Your Account,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Suspicious Activity on Your Account,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Appointment Confirmation,Kindly find the invoice for your recent purchase.,legit
Unusual Login Attempt Detected,You have been selected for account verification. Click the link to proceed.,phishing
Urgent: Verify Your Account,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Verify Your Bank Account Immediately,"To continue using your account, please confirm your email address.",phishing
Weekly Digest,Thank you for attending the meeting. Notes are attached.,legit
Project Update,Please review the updated HR policy attached in this email.,legit
Limited Time Offer! Buy Now,Free gift card available for a limited time.,spam
Limited Time Offer! Buy Now,Act now to secure your limited-time offer.,spam
Winner Announcement Inside,Limited time offer! Buy now and save 50% on your order.,spam
Get Rich Quick!,Limited time offer! Buy now and save 50% on your order.,spam
Action Required: Account Verification,Your payment could not be processed. Update your billing information now.,phishing
Invoice Attached,Your subscription has been renewed successfully.,legit
HR Policy Update,Your subscription has been renewed successfully.,legit
Team Outing Schedule,Reminder: Submit your project update by Friday.,legit
Payment Failed – Verify Now,Your payment could not be processed. Update your billing information now.,phishing
Appointment Confirmation,Looking forward to our meeting tomorrow at 10 AM.,legit
Project Update,Please review the updated HR policy attached in this email.,legit
Congratulations! You've won a prize,Exclusive investment opportunity. Don't miss out!,spam
Urgent: Verify Your Account,Work from home and earn thousands. Sign up today!,spam
HR Policy Update,Your subscription has been renewed successfully.,legit
Earn $5000 working from home,You have won a free iPhone! Claim your prize before it expires.,spam
Get Rich Quick!,Work from home and earn thousands. Sign up today!,spam
Welcome to Our Newsletter,Agenda for the upcoming team outing is attached.,legit
Get Rich Quick!,Act now to secure your limited-time offer.,spam
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Welcome to Our Newsletter,Please review the updated HR policy attached in this email.,legit
Limited Time Offer! Buy Now,Limited time offer! Buy now and save 50% on your order.,spam
Urgent: Verify Your Account,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Get Rich Quick!,Act now to secure your limited-time offer.,spam
Verify Your Bank Account Immediately,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Unusual Login Attempt Detected,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Appointment Confirmation,Welcome to our newsletter! We will keep you updated weekly.,legit
Monthly Report Submission,Kindly find the invoice for your recent purchase.,legit
Invoice Attached,Please find the attached report for your review.,legit
Winner Announcement Inside,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Your Account Has Been Suspended,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Lowest Price Ever! Shop Now,Exclusive investment opportunity. Don't miss out!,spam
Unusual Login Attempt Detected,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Free iPhone Giveaway,Exclusive investment opportunity. Don't miss out!,spam
Your Account Has Been Suspended,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Team Outing Schedule,Thank you for attending the meeting. Notes are attached.,legit
Reset Your Password Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Project Update,Your subscription has been renewed successfully.,legit
Congratulations! You've won a prize,Free gift card available for a limited time.,spam
Reset Your Password Now,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Your Account Has Been Suspended,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Payment Failed – Verify Now,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Appointment Confirmation,Agenda for the upcoming team outing is attached.,legit
Suspicious Activity on Your Account,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Congratulations! You've won a prize,Click here to claim your reward instantly.,spam
Lowest Price Ever! Shop Now,Click here to claim your reward instantly.,spam
Get Rich Quick!,Limited time offer! Buy now and save 50% on your order.,spam
Winner Announcement Inside,Congratulations! Your lottery ticket has won. Redeem now.,spam
Earn $5000 working from home,Exclusive investment opportunity. Don't miss out!,spam
Get Rich Quick!,Earn $1000 per day online with this simple trick.,spam
Your Account is Locked,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Monthly Report Submission,Your order has been shipped and will arrive within 3-5 business days.,legit
Unauthorized Transaction Alert,Your payment could not be processed. Update your billing information now.,phishing
Get Rich Quick!,Exclusive investment opportunity. Don't miss out!,spam
Appointment Confirmation,Kindly find the invoice for your recent purchase.,legit
Project Update,Agenda for the upcoming team outing is attached.,legit
Urgent: Verify Your Account,Limited time offer! Buy now and save 50% on your order.,spam
Meeting Reminder,Thank you for attending the meeting. Notes are attached.,legit
Lowest Price Ever! Shop Now,Act now to secure your limited-time offer.,spam
Project Update,Reminder: Submit your project update by Friday.,legit
Your Account Has Been Suspended,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Limited Time Offer! Buy Now,Limited time offer! Buy now and save 50% on your order.,spam
Verify Your Bank Account Immediately,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Limited Time Offer! Buy Now,Free gift card available for a limited time.,spam
Verify Your Bank Account Immediately,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Action Required: Account Verification,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Lowest Price Ever! Shop Now,Exclusive investment opportunity. Don't miss out!,spam
Team Outing Schedule,Your order has been shipped and will arrive within 3-5 business days.,legit
Project Update,Agenda for the upcoming team outing is attached.,legit
Unauthorized Transaction Alert,Your payment could not be processed. Update your billing information now.,phishing
Lowest Price Ever! Shop Now,Exclusive investment opportunity. Don't miss out!,spam
Winner Announcement Inside,Work from home and earn thousands. Sign up today!,spam
Confirm Your Identity,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Suspicious Activity on Your Account,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Verify Your Bank Account Immediately,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Lowest Price Ever! Shop Now,Exclusive investment opportunity. Don't miss out!,spam
Payment Failed – Verify Now,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Meeting Reminder,Thank you for attending the meeting. Notes are attached.,legit
Invoice Attached,Welcome to our newsletter! We will keep you updated weekly.,legit
Unauthorized Transaction Alert,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Your Order Has Shipped,Thank you for attending the meeting. Notes are attached.,legit
Meeting Reminder,Reminder: Submit your project update by Friday.,legit
Get Rich Quick!,Click here to claim your reward instantly.,spam
Unauthorized Transaction Alert,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Monthly Report Submission,Reminder: Submit your project update by Friday.,legit
HR Policy Update,Your order has been shipped and will arrive within 3-5 business days.,legit
HR Policy Update,Please review the updated HR policy attached in this email.,legit
Suspicious Activity on Your Account,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Monthly Report Submission,Thank you for attending the meeting. Notes are attached.,legit
Earn $5000 working from home,You have won a free iPhone! Claim your prize before it expires.,spam
Meeting Reminder,Looking forward to our meeting tomorrow at 10 AM.,legit
Invoice Attached,Agenda for the upcoming team outing is attached.,legit
Your Order Has Shipped,Kindly find the invoice for your recent purchase.,legit
Winner Announcement Inside,Act now to secure your limited-time offer.,spam
Unauthorized Transaction Alert,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Appointment Confirmation,Kindly find the invoice for your recent purchase.,legit
Lowest Price Ever! Shop Now,Earn $1000 per day online with this simple trick.,spam
Appointment Confirmation,Your subscription has been renewed successfully.,legit
Unauthorized Transaction Alert,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Confirm Your Identity,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Urgent: Verify Your Account,Limited time offer! Buy now and save 50% on your order.,spam
Action Required: Account Verification,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Payment Failed – Verify Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Get Rich Quick!,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Appointment Confirmation,Agenda for the upcoming team outing is attached.,legit
Welcome to Our Newsletter,Looking forward to our meeting tomorrow at 10 AM.,legit
Lowest Price Ever! Shop Now,You have won a free iPhone! Claim your prize before it expires.,spam
Project Update,Please review the updated HR policy attached in this email.,legit
Congratulations! You've won a prize,Click here to claim your reward instantly.,spam
Invoice Attached,Agenda for the upcoming team outing is attached.,legit
Suspicious Activity on Your Account,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Project Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Winner Announcement Inside,Work from home and earn thousands. Sign up today!,spam
Payment Failed – Verify Now,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Verify Your Bank Account Immediately,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Earn $5000 working from home,Limited time offer! Buy now and save 50% on your order.,spam
Suspicious Activity on Your Account,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Invoice Attached,Your order has been shipped and will arrive within 3-5 business days.,legit
Lowest Price Ever! Shop Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Limited Time Offer! Buy Now,You have won a free iPhone! Claim your prize before it expires.,spam
Free iPhone Giveaway,Work from home and earn thousands. Sign up today!,spam
Suspicious Activity on Your Account,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Monthly Report Submission,Looking forward to our meeting tomorrow at 10 AM.,legit
Project Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Payment Failed – Verify Now,"To continue using your account, please confirm your email address.",phishing
Your Order Has Shipped,Please find the attached report for your review.,legit
Free iPhone Giveaway,You have won a free iPhone! Claim your prize before it expires.,spam
Weekly Digest,Please find the attached report for your review.,legit
Meeting Reminder,Please find the attached report for your review.,legit
Appointment Confirmation,Reminder: Submit your project update by Friday.,legit
HR Policy Update,Thank you for attending the meeting. Notes are attached.,legit
Meeting Reminder,Your subscription has been renewed successfully.,legit
Monthly Report Submission,Welcome to our newsletter! We will keep you updated weekly.,legit
Double Your Income in 7 Days,Work from home and earn thousands. Sign up today!,spam
Payment Failed – Verify Now,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Reset Your Password Now,"To continue using your account, please confirm your email address.",phishing
Meeting Reminder,Kindly find the invoice for your recent purchase.,legit
Monthly Report Submission,Kindly find the invoice for your recent purchase.,legit
